pub_name,pint_price,pint_type,address,latitude,longitude
Brewmaster,£6.50,GUINNESS,"37 Cranbourn St, London WC2H 7AD",,
Green Man,£6.15,AMSTEL,"57 Berwick St, Greater, London W1F 8SR",
Blue Posts,£6.50,GUINNESS,"18 Kingly St, Carnaby, London W1B 5PX",
Swan,£6.95,ESTRELLA,"66 Bayswater Road, London W2 3PH",
Silver Cross,£7.10,ESTRELLA,"33 Whitehall, London SW1A 2BX",
The Sutton Arms,£7.20,GUINNESS,"16 Great Sutton St, London EC1V 0DH",
The Sutton Arms,£6.25,LONDON PRIDE,"6 Carthusian St, Barbican, London EC1M 6EB",
Albert (Victoria),£6.15,AMSTEL,"52 Victoria St, London SW1H 0NP",
The Surprise,£6.95,BIRRA MORETTI,"6 Christchurch Terrace, London SW3 4AJ",
Duke of York,£6.15,AMSTEL,"8 Dering St, London W1S 1AF",
Blue Posts,£7.45,PERONI,"18 Kingly St, Carnaby, London W1B 5PX",
The Horse & Groom,£6.85,WHITSTABLE BAY LAGER,"7 Groom Pl, London SW1X 7BA",
Two Brewers,£7.40,PERONI,"40 Monmouth St, London WC2H 9EP",
The Saint,£6.95,GUINNESS,"1 Bow Churchyard, London EC4M 9DQ",
Coach & Horses,£6.15,AMSTEL,"",
Silver Cross,£7.30,NECK OIL,"",
White Swan,£7.05,LUCKY SAINT,"",
Plough,£6.65,MADRI,"",
Globe,£7.50,NECK OIL,"",
The Old Spades,£6.35,LONDON PALE ALE,"",
Brewmaster,£7.10,MADRI,"",
The Rocket,£6.80,HEINEKEN,"",
Round Table,£7.50,NECK OIL,"",
Globe,£7.25,ASAHI,"",
Silver Cross,£7.10,BIRRA MORETTI,"",
Duke of York,£7.40,NECK OIL,"",
The Devonshire,£6.90,GUINNESS,"",
Maple Leaf,£7.40,PERONI,"",
The Ship,£5.90,BUDVAR,"",
Duke of York,£6.90,ESTRELLA,,
The Three Kings,£6.60,GUINNESS,,
Anchor,£7.25,BIRRA MORETTI,,
The Botanist,£6.50,BRIXTON ATLANTIC PALE ALE,,
Imperial,£7.50,NECK OIL,,
Rising Sun,£7.20,BIRRA MORETTI,,
Sherlock Holmes,£7.10,BIRRA MORETTI,,
Plough,£7.10,BIRRA MORETTI,,
Imperial,£6.55,GUINNESS,,
Anchor,£6.70,GUINNESS,,
Rising Sun,£7.50,NECK OIL,,
The Market Tavern,£6.90,ESTRELLA,,
Sherlock Holmes,£6.45,AMSTEL,,
Swan,£7.40,NECK OIL,,
The Ship,£5.50,PRAVHA,,
Rising Sun,£7.40,NECK OIL,,
Imperial,£7.20,BIRRA MORETTI,,
Imperial,£6.35,AMSTEL,,
The Dolphin Tavern,£6.50,CRUZCAMPO,,
The Feathers,£6.05,PALE ALE,,
Rising Sun,£6.90,ESTRELLA,,
Duke of York,£7.00,BIRRA MORETTI,,
Brewmaster,£7.10,ESTRELLA,,
Sherlock Holmes,£7.40,PERONI,,
Rising Sun,£6.15,AMSTEL,,
Lord Raglan,£7.55,NECK OIL,,
Albert (Victoria),£7.40,PERONI,,
Swan,£6.35,GUINNESS,,
The Albion,£5.40,YOUNG’S ORIGINAL,,
The Windmill,£5.90,STAROPRAMEN,,
Blue Posts,£7.25,BIRRA MORETTI,,
Lord Raglan,£7.00,ESTRELLA,,
Adam & Eve (St James),£6.90,MADRI,,
Punch & Judy,£6.80,GUINNESS,,
The Queens Head,£6.10,ESTRELLA,,
Signal Box,£6.25,LONDON PRIDE,,
The Saint,£7.40,PERONI,,
The Horse & Stables,£6.30,BREW BY NUMBERS 32,,
Adam & Eve (St James),£5.40,CARLING,,
Globe,£7.40,PERONI,,
Globe,£6.35,GUINNESS,,
Green Man,£7.40,PERONI,,
Coach & Horses,£7.25,NECK OIL,,
Flowes of the Forest,£4.80,FOSTERS,,
Sherlock Holmes,£7.45,NECK OIL,,
Imperial,£7.15,MADRI,,
The Grenadier,£6.70,BIRRA MORETTI,,
Punch & Judy,£7.50,ESTRELLA,,
The George IV,£6.30,CAMDEN HELLS,,
Two Brewers,£6.15,AMSTEL,,
The Enterprise,£5.60,AMSTEL,,
Coach & Horses,£7.25,PERONI,,
The Boot,£4.80,FOSTERS,,
Silver Cross,£7.40,PERONI,,
The Queen’s Head,£5.20,PAULANER,,
The Sutton Arms,£6.20,PAULANER,,
Blue Posts,£7.10,ESTRELLA,,
Adam & Eve (St James),£7.40,NECK OIL,,
Imperial,£7.50,PERONI,,
Adam & Eve (St James),£7.35,PERONI,,
Swan,£6.10,AMSTEL,,
Crown & Anchor,£6.55,ESTRELLA,,
The Wellington,£6.20,HEINEKEN,,
Adam & Eve (St James),£6.90,ESTRELLA,,
Round Table,£6.30,AMSTEL,,
The Phoenix,£6.70,ESTRELLA,,
Sherlock Holmes,£7.10,ESTRELLA,,
Green Man,£7.40,NECK OIL,,
The Queens Head,£5.90,BOHEM MAMKA PILSNER,,
The Saint,£7.40,ASAHI,,
Adam & Eve (St James),£6.35,GUINNESS,,
The Lyric,£6.20,BUDVAR,,
The Rose,£6.90,PRAVHA,,
The Kings Head,£6.15,PRAVHA,,
Finery,£6.50,GUINNESS,,
The Pregnant Man,£6.70,CAMDEN HELLS,,
The Lamb,£6.65,ESTRELLA,,
Finery,£7.40,PERONI,,
Two Brewers,£6.25,GUINNESS,,
Punch & Judy,£8.05,NECK OIL,,
The Perseverance,£6.45,ESTRELLA,,
Rising Sun,£7.20,BIRRA MORETTI,,
Plough,£7.55,NECK OIL,,
Rising Sun,£7.40,NECK OIL,,
Lord Raglan,£7.00,BIRRA MORETTI,,
Coach & Horses,£6.90,CORONA,,
The Cavendish,£8.44,KIRIN LAGER,,
The Albany,£7.15,ASAHI,,
The Feathers,£6.55,PRAVHA,,
Bbar,£9.00,BOTTLED BEER,,
Swan,£6.95,BIRRA MORETTI,,
The Duke of Argyll,£6.40,TADDY LAGER,,
Finery,£7.00,BIRRA MORETTI,,
Yeh Olde Watling,£6.40,GUINNESS,,
Rising Sun,£7.00,BIRRA MORETTI,,
The Walrus,£5.50,AMSTEL,,
Finery,£7.05,ESTRELLA,,
Green Man,£7.10,BIRRA MORETTI,,
The Libertine,£5.90,HEINEKEN,,
Adam & Eve (St James),£6.15,AMSTEL,,
The Victoria,£6.05,AMSTEL,,
Anchor,£7.20,MADRI,,
Rising Sun,£6.35,GUINNESS,,
Two Brewers,£7.50,NECK OIL,,
Lord Raglan,£7.30,PERONI,,
Rising Sun,£7.25,PERONI,,
Round Table,£6.30,GUINNESS,,
Round Table,£7.25,BIRRA MORETTI,,
Yeh Olde Watling,£6.80,MADRI,,
Flight Club,£6.20,AMSTEL,,
Round Table,£7.45,PERONI,,
Two Brewers,£7.00,ESTRELLA,,
Anchor,£7.45,PERONI,,
Duke of York,£7.25,PERONI,,
Three Tuns,£7.40,NECK OIL,,
The Duke of York,£6.25,WHITSTABLE BAY LAGER,,
The White Bear,£6.80,MAHOU,,
Sherlock Holmes,£6.55,GUINNESS,,
The Princess of Wales,£5.85,PRAVHA,,
Three Tuns,£7.25,PERONI,,
Albert (Victoria),£7.25,ASAHI,,
Blue Posts,£7.45,NECK OIL,,
The Harrison,£5.00,AMSTEL,,
Three Tuns,£6.35,GUINNESS,,
The Eagle,£6.25,PRAVHA,,
Anchor,£7.60,NECK OIL,,
Coach & Horses,£6.35,GUINNESS,,
Globe,£6.15,AMSTEL,,
Duke of York,£6.40,GUINNESS,,
Plough,£7.40,PERONI,,
The Punchbowl,£6.70,HEINEKEN,,
The Seven Stars,£6.50,BITBURGER,,
Finery,£7.05,MADRI,,
Silver Cross,£6.25,AMSTEL,,
Brewmaster,£7.15,BIRRA MORETTI,,
The Royal George,£6.60,CAMDEN HELLS,,
Lord Raglan,£6.35,GUINNESS,,
Silver Cross,£6.35,GUINNESS,,
Punch & Judy,£7.85,PERONI,,
Plough,£6.15,AMSTEL,,
Albert (Victoria),£7.00,BIRRA MORETTI,,
Three Tuns,£7.00,ESTRELLA,,
The Rising Sun,£4.40,HEINEKEN,,
Lord Raglan,£6.20,AMSTEL,,
The Ship,£6.05,CRUZCAMPO,,
Coach & Horses,£6.95,ESTRELLA,,
Globe,£7.00,ESTRELLA,,
The Shakespeare,£6.70,BIRRA MORETTI,,
The Princess of Wales,£6.95,CAMDEN HELLS,,
Maple Leaf,£6.50,GUINNESS,,
Plough,£6.40,GUINNESS,,
The Clarence,£6.15,PRAVHA,,
The Sutton Arms,£6.55,AMSTEL,,
Signal Box,£6.65,GRIFFIN IPA,,
Hercules Pillars,£4.20,CASK ALE,,
Three Tuns,£6.15,AMSTEL,,
The Admiralty,£6.30,AMSTEL,,
Finery,£7.40,NECK OIL,,
The Duke,£6.50,ESTRELLA,,
Green Man,£7.10,ESTRELLA,,
Plough,£7.00,ESTRELLA,,
Swan,£7.25,PERONI,,
Coach & Horses,£6.95,MADRI,,
Brewmaster,£7.40,PERONI,,
Anchor,£7.25,ESTRELLA,,
Two Brewers,£7.05,BIRRA MORETTI,,
The Lemon Tree,£5.75,AMSTEL,,
The Trinity,£5.60,AMSTEL,,
Round Table,£7.10,ESTRELLA,,
